Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07
34407,,6298,417,05-08-2017 08:22:49,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:12,22.44063,44.68462,0.330,,,0,401663970.57,22.44063,44.68462,22.44063,44.68462,58,3,1,8,0,-121,663970.6,3429,152489,77,100,2501,02,CA,1B,D3,AB,9F,9F
34406,,6298,480,05-08-2017 08:23:01,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:21:29,22.41774,44.68881,0.189,,,0,401664002.43,22.41774,44.68881,22.41774,44.68881,58,3,1,8,0,-121,664002.4,2813,127219,62,100,2063,02,C8,1B,D1,C3,6E,D3
34403,,6298,481,05-08-2017 08:23:06,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:39,22.6795,44.63194,0.124,,,0,401663624.58,22.6795,44.63194,22.6795,44.63194,45,3,1,8,0,-121,663624.6,19495,869697,437,101,3978,02,C7,1C,D9,CB,C8,9C
34400,,6298,599,05-08-2017 08:23:45,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:23:21,22.50065,44.66899,0.263,,,0,401663742.91,22.50065,44.66899,22.50065,44.66899,45,3,1,7,0,-121,663742.9,18882,0,282,101,2859,03,07,40,44,8C,30,CD
34407,,6298,417,05-08-2017 08:23:47,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:12,22.44063,44.68462,0.330,,,0,401663970.57,22.44063,44.68462,22.44063,44.68462,58,3,1,8,0,-121,663970.6,3429,152489,77,100,2501,03,07,3C,38,D9,51,53
34418,,6298,655,05-08-2017 08:23:50,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:45,22.42394,44.68581,0.382,,,0,401664016.55,22.42394,44.68581,22.42394,44.68581,48,3,1,6,0,-121,664016.6,16903,734467,389,101,2452,03,07,3C,38,2B,64,00
34406,,6298,480,05-08-2017 08:23:59,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:21:29,22.41774,44.68881,0.189,,,0,401664002.43,22.41774,44.68881,22.41774,44.68881,58,3,1,8,0,-121,664002.4,2813,127219,62,100,2063,03,07,3C,38,D5,26,07
34403,,6298,481,05-08-2017 08:24:04,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:39,22.6795,44.63194,0.124,,,0,401663624.58,22.6795,44.63194,22.6795,44.63194,45,3,1,8,0,-121,663624.6,19495,869697,437,101,3978,03,06,6B,6E,E3,25,CB
34400,,6298,599,05-08-2017 08:24:45,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:23:21,22.50065,44.66899,0.263,,,0,401663742.91,22.50065,44.66899,22.50065,44.66899,45,3,1,7,0,-121,663742.9,18882,0,282,101,2859,00,01,A3,A2,E1,07,82
34418,,6298,655,05-08-2017 08:24:48,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:45,22.42394,44.68581,0.382,,,0,401664016.55,22.42394,44.68581,22.42394,44.68581,48,3,1,6,0,-121,664016.6,16903,734467,389,101,2452,00,01,7D,7C,94,69,0D
34407,,6298,417,05-08-2017 08:24:50,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:12,22.44063,44.68462,0.330,,,0,401663970.57,22.44063,44.68462,22.44063,44.68462,58,3,1,8,0,-121,663970.6,3429,152489,77,100,2501,00,01,73,72,A4,9D,7B
34403,,6298,481,05-08-2017 08:25:06,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:39,22.6795,44.63194,0.124,,,0,401663624.58,22.6795,44.63194,22.6795,44.63194,45,3,1,8,0,-121,663624.6,19495,869697,437,101,3978,00,05,65,64,58,AB,F6
34400,,6298,599,05-08-2017 08:25:43,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:23:21,22.50065,44.66899,0.263,,,0,401663742.91,22.50065,44.66899,22.50065,44.66899,45,3,1,7,0,-121,663742.9,18882,0,282,101,2859,01,30,89,B0,D3,90,CC
34407,,6298,417,05-08-2017 08:25:50,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:12,22.44063,44.68462,0.330,,,0,401663970.57,22.44063,44.68462,22.44063,44.68462,58,3,1,8,0,-121,663970.6,3429,152489,77,100,2501,01,30,85,B4,EC,C1,2A
34406,,6298,480,05-08-2017 08:25:55,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:21:29,22.41774,44.68881,0.189,,,0,401664002.43,22.41774,44.68881,22.41774,44.68881,58,3,1,8,0,-121,664002.4,2813,127219,62,100,2063,01,30,A8,99,BE,39,A6
34403,,6298,481,05-08-2017 08:26:06,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:39,22.6795,44.63194,0.124,,,0,401663624.58,22.6795,44.63194,22.6795,44.63194,45,3,1,8,0,-121,663624.6,19495,869697,437,101,3978,01,2B,0F,25,E1,CB,DD
34418,,6298,655,05-08-2017 08:26:44,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:45,22.42394,44.68581,0.382,,,0,401664016.55,22.42394,44.68581,22.42394,44.68581,48,3,1,6,0,-121,664016.6,16903,734467,389,101,2452,02,C8,1C,D6,92,F0,6E
34407,,6298,417,05-08-2017 08:26:46,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:12,22.44063,44.68462,0.330,,,0,401663970.57,22.44063,44.68462,22.44063,44.68462,58,3,1,8,0,-121,663970.6,3429,152489,77,100,2501,02,CC,1B,D5,90,4B,BC
34406,,6298,480,05-08-2017 08:27:01,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:21:29,22.41774,44.68881,0.189,,,0,401664002.43,22.41774,44.68881,22.41774,44.68881,58,3,1,8,0,-121,664002.4,2813,127219,62,100,2063,02,C9,1B,D0,C8,B2,0B
34406,,6298,0,05-08-2017 08:30:01,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:30:01,22.42847,44.68937,0.289,,,B,401664015.19,22.42847,44.68937,22.42847,44.68937,6,2,1,1,0,-133,664015.2,3634,9915,1332,98,2822,01,30,AC,9D,F1,AE,D4
34403,,6298,0,05-08-2017 08:31:04,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:31:03,22.65324,44.64086,0.127,,,B,401663668.00,22.65324,44.64086,22.65324,44.64086,6,2,1,1,0,-133,663668,17154,74288,3961,99,4155,02,C8,1E,D4,DC,58,5A
34400,,6298,300,05-08-2017 08:31:45,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:34:45,22.37846,44.71784,0.261,,,A,401663731.80,22.37846,44.71784,22.37846,44.71784,6,2,1,3,0,-129,663731.8,2414,12697,459,56,1291,03,07,41,45,8D,8D,D8
34418,,6298,0,05-08-2017 08:31:50,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:31:49,22.36534,44.70474,0.603,,,B,401663993.89,22.36534,44.70474,22.36534,44.70474,6,2,1,1,0,-131,663993.9,10755,39617,2919,98,4799,03,07,3C,38,9D,FD,77
34400,,6298,300,05-08-2017 08:35:45,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:34:45,22.37846,44.71784,0.261,,,A,401663731.80,22.37846,44.71784,22.37846,44.71784,6,2,1,3,0,-129,663731.8,2414,12697,459,56,1291,02,07,41,45,F0,3E,EE
34400,,6298,300,05-08-2017 08:36:45,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:34:45,22.37846,44.71784,0.261,,,A,401663731.80,22.37846,44.71784,22.37846,44.71784,6,2,1,3,0,-129,663731.8,2414,12697,459,56,1291,00,01,2D,24,92,BE,70
34418,,6298,840,05-08-2017 08:47:51,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:53:50,22.32366,44.70312,0.248,,,1,401663994.86,22.32366,44.70312,22.32366,44.70312,56,3,1,4,0,-123,663994.9,806,5963,108,97,453,03,07,3D,39,D5,40,94
34400,,6298,778,05-08-2017 08:48:46,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:52:44,22.29447,44.70034,0.612,,,2,401663718.75,22.29447,44.70034,22.29447,44.70034,56,3,1,8,0,-120,663718.8,398,2110,74,102,307,00,01,A2,E3,BE,31,8D
34400,,6298,778,05-08-2017 08:50:46,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:52:44,22.29447,44.70034,0.612,,,2,401663718.75,22.29447,44.70034,22.29447,44.70034,56,3,1,8,0,-120,663718.8,398,2110,74,102,307,02,CA,20,E8,E3,0D,62
34400,,6298,778,05-08-2017 08:52:42,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:52:44,22.29447,44.70034,0.612,,,2,401663718.75,22.29447,44.70034,22.29447,44.70034,56,3,1,8,0,-120,663718.8,398,2110,74,102,307,00,01,CF,CE,CE,7E,06
34418,,6298,840,05-08-2017 08:52:51,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:53:50,22.32366,44.70312,0.248,,,1,401663994.86,22.32366,44.70312,22.32366,44.70312,56,3,1,4,0,-123,663994.9,806,5963,108,97,453,00,01,15,14,8D,32,85
34403,,6298,544,05-08-2017 08:53:03,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:54:04,22.27633,44.72155,0.699,,,1,401663600.91,22.27633,44.72155,22.27633,44.72155,46,3,1,4,0,-124,663600.9,1104,6454,188,96,380,00,01,35,34,BB,77,9F
34400,,6298,778,05-08-2017 08:53:46,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:52:44,22.29447,44.70034,0.612,,,2,401663718.75,22.29447,44.70034,22.29447,44.70034,56,3,1,8,0,-120,663718.8,398,2110,74,102,307,01,30,A1,94,E6,D8,B4
34407,,6298,240,05-08-2017 08:53:51,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:55:08,22.34272,44.6939,0.160,,,1,401663950.05,22.34272,44.6939,22.34272,44.6939,58,2,1,4,0,-125,663950.1,640,3013,135,85,389,01,30,A1,90,8E,86,5B
34403,,6298,544,05-08-2017 08:54:07,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:54:04,22.27633,44.72155,0.699,,,1,401663600.91,22.27633,44.72155,22.27633,44.72155,46,3,1,4,0,-124,663600.9,1104,6454,188,96,380,01,3B,2B,01,FC,32,13
34400,,6298,778,05-08-2017 08:54:42,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:52:44,22.29447,44.70034,0.612,,,2,401663718.75,22.29447,44.70034,22.29447,44.70034,56,3,1,8,0,-120,663718.8,398,2110,74,102,307,02,CA,20,E8,B1,29,2D
34407,,6298,240,05-08-2017 08:54:49,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:55:08,22.34272,44.6939,0.160,,,1,401663950.05,22.34272,44.6939,22.34272,44.6939,58,2,1,4,0,-125,663950.1,640,3013,135,85,389,02,CC,21,EF,DA,F3,94
34418,,6298,840,05-08-2017 08:54:51,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:53:50,22.32366,44.70312,0.248,,,1,401663994.86,22.32366,44.70312,22.32366,44.70312,56,3,1,4,0,-123,663994.9,806,5963,108,97,453,02,C9,21,EA,98,D9,0E
34403,,6298,544,05-08-2017 08:55:05,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:54:04,22.27633,44.72155,0.699,,,1,401663600.91,22.27633,44.72155,22.27633,44.72155,46,3,1,4,0,-124,663600.9,1104,6454,188,96,380,02,C8,22,E8,92,12,F6
34400,,6298,778,05-08-2017 08:55:46,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:52:44,22.29447,44.70034,0.612,,,2,401663718.75,22.29447,44.70034,22.29447,44.70034,56,3,1,8,0,-120,663718.8,398,2110,74,102,307,03,07,41,44,E3,8C,38
34407,,6298,240,05-08-2017 08:56:45,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:55:08,22.34272,44.6939,0.160,,,1,401663950.05,22.34272,44.6939,22.34272,44.6939,58,2,1,4,0,-125,663950.1,640,3013,135,85,389,00,01,6B,6A,DA,BB,00
34406,,6298,56,05-08-2017 08:57:03,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:57:02,22.41678,44.67873,0.435,,,B,401663993.87,22.41678,44.67873,22.41678,44.67873,6,3,1,2,0,-127,663993.9,3670,32463,414,106,3410,00,01,AB,AA,D3,B3,97
34407,,6298,240,05-08-2017 08:57:51,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:55:08,22.34272,44.6939,0.160,,,1,401663950.05,22.34272,44.6939,22.34272,44.6939,58,2,1,4,0,-125,663950.1,640,3013,135,85,389,01,34,A5,94,87,0F,C0
34406,,6298,56,05-08-2017 08:57:59,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:57:02,22.41678,44.67873,0.435,,,B,401663993.87,22.41678,44.67873,22.41678,44.67873,6,3,1,2,0,-127,663993.9,3670,32463,414,106,3410,01,30,C8,F9,DD,22,82
34400,,6298,778,05-08-2017 09:00:46,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:52:44,22.29447,44.70034,0.612,,,2,401663718.75,22.29447,44.70034,22.29447,44.70034,56,3,1,8,0,-120,663718.8,398,2110,74,102,307,00,11,1F,1E,B2,21,6B
34400,,6298,778,05-08-2017 09:01:44,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:52:44,22.29447,44.70034,0.612,,,2,401663718.75,22.29447,44.70034,22.29447,44.70034,56,3,1,8,0,-120,663718.8,398,2110,74,102,307,01,30,AD,9C,93,BE,1E
34418,,6298,840,05-08-2017 09:01:51,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:53:50,22.32366,44.70312,0.248,,,1,401663994.86,22.32366,44.70312,22.32366,44.70312,56,3,1,4,0,-123,663994.9,806,5963,108,97,453,01,31,09,39,AC,12,DA
34403,,6298,544,05-08-2017 09:02:07,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:54:04,22.27633,44.72155,0.699,,,1,401663600.91,22.27633,44.72155,22.27633,44.72155,46,3,1,4,0,-124,663600.9,1104,6454,188,96,380,01,2B,33,19,AB,A0,13
34418,,6298,420,05-08-2017 09:57:54,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:01:24,22.29944,44.65533,0.119,,,B,401663952.74,22.29944,44.65533,22.29944,44.65533,8,3,1,2,0,-130,663952.7,14270,152816,1332,37,3397,01,31,41,71,F6,AE,5D
34400,,6298,426,05-08-2017 09:58:43,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:02:16,22.33767,44.70491,0.260,,,0,401663686.00,22.33767,44.70491,22.33767,44.70491,48,3,1,4,0,-127,663686,3652,10524,1267,6,803,02,CA,25,ED,AE,DA,16
34403,,6298,0,05-08-2017 09:59:10,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 09:59:09,22.34612,44.80913,0.472,,,B,401663578.00,22.34612,44.80913,22.34612,44.80913,8,3,1,1,0,-128,663578,9219,12797,6640,102,4681,02,C8,25,EF,9E,E1,07
34400,,6298,426,05-08-2017 09:59:49,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:02:16,22.33767,44.70491,0.260,,,0,401663686.00,22.33767,44.70491,22.33767,44.70491,48,3,1,4,0,-127,663686,3652,10524,1267,6,803,03,07,42,46,C5,72,48
34406,,6298,60,05-08-2017 10:03:06,MA,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:03:35,22.38876,44.72311,0.198,,,B,401663979.81,22.38876,44.72311,22.38876,44.72311,8,3,1,2,0,-124,663979.8,3152,10584,938,79,4393,02,CA,26,6E,46,4F,DC
34406,,6298,60,05-08-2017 10:04:06,MA,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:03:35,22.38876,44.72311,0.198,,,B,401663979.81,22.38876,44.72311,22.38876,44.72311,8,3,1,2,0,-124,663979.8,3152,10584,938,79,4393,03,07,3E,3A,06,00,11
34403,,6298,541,05-08-2017 10:04:10,MA,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:08:06,22.46837,44.7248,0.212,,,0,401663540.05,22.46837,44.7248,22.46837,44.7248,46,3,1,4,0,-121,663540.1,2067,2857,1495,82,335,03,06,6D,68,C7,B4,BB
